Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc
MA6T_YEAST,0.39,0.37,0.33,0.23,0.5,0,0.52,0.26
SX19_YEAST,0.32,0.68,0.51,0.16,0.5,0.83,0.55,0.22
PUT4_YEAST,0.58,0.53,0.33,0.26,0.5,0,0.51,0.22
YB37_YEAST,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25
UCR8_YEAST,0.38,0.31,0.59,0.19,0.5,0,0.46,0.22
RL1_YEAST,0.35,0.33,0.48,0.42,0.5,0,0.47,0.43
GLYC_YEAST,0.53,0.49,0.47,0.21,0.5,0,0.53,0.22
RM44_YEAST,0.53,0.52,0.61,0.35,0.5,0,0.5,0.22
CYPD_YEAST,0.78,0.74,0.58,0.25,1,0,0.53,0.22
UBP3_YEAST,0.27,0.43,0.5,0.13,0.5,0,0.54,0.31
EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0,0.49,0.27
HXT5_YEAST,0.43,0.45,0.37,0.12,0.5,0,0.48,0.22
PGK_YEAST,0.48,0.42,0.48,0.19,0.5,0,0.58,0.22
SMC1_YEAST,0.47,0.56,0.51,0.2,0.5,0,0.52,0.59
YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0,0.48,0.25
NIP1_YEAST,0.35,0.5,0.44,0.27,0.5,0,0.51,0.22
UBC7_YEAST,0.5,0.44,0.57,0.28,0.5,0,0.57,0.22
SC65_YEAST,0.41,0.4,0.56,0.17,0.5,0,0.56,0.22
LAS1_YEAST,0.43,0.38,0.51,0.24,0.5,0,0.46,0.33
YKJ5_YEAST,0.36,0.48,0.61,0.26,0.5,0,0.5,0.16
CAP_YEAST,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39
SYI_YEAST,0.5,0.46,0.52,0.16,0.5,0,0.52,0.26
CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0,0.48,0.55
HSP7_YEAST,0.38,0.46,0.52,0.75,0.5,0,0.5,0.26
PRCF_YEAST,0.35,0.47,0.53,0.19,0.5,0,0.48,0.22
ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0,0.51,0.22
RL2_YEAST,0.63,0.64,0.45,0.26,0.5,0,0.43,0.22
YHD5_YEAST,0.38,0.67,0.33,0.17,0.5,0,0.51,0.22
MDJ1_YEAST,0.4,0.52,0.53,0.52,0.5,0,0.51,0.22
FET3_YEAST,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22
ZIP1_YEAST,0.47,0.43,0.61,0.4,0.5,0,0.48,0.47
PR02_YEAST,0.3,0.3,0.46,0.32,0.5,0,0.45,0.22
PRCG_YEAST,0.55,0.63,0.54,0.16,0.5,0,0.45,0.27
SEC2_YEAST,0.58,0.56,0.46,0.14,0.5,0,0.51,0.22
RS33_YEAST,0.5,0.5,0.62,0.23,0.5,0,0.35,0.11
RL71_YEAST,0.35,0.39,0.56,0.2,0.5,0,0.49,0.41
FUR4_YEAST,0.35,0.56,0.36,0.3,0.5,0,0.53,0.25
YPT1_YEAST,0.6,0.61,0.54,0.11,0.5,0,0.46,0.22
MSH1_YEAST,0.49,0.44,0.45,0.55,0.5,0,0.48,0.22
TP20_YEAST,0.4,0.56,0.53,0.15,0.5,0,0.49,0.22
PR16_YEAST,0.56,0.59,0.54,0.18,0.5,0,0.48,0.46
HIR1_YEAST,0.48,0.57,0.5,0.09,0.5,0,0.52,0.42
PRT1_YEAST,0.59,0.46,0.48,0.46,0.5,0,0.49,0.22
RAD9_YEAST,0.41,0.52,0.51,0.22,0.5,0,0.52,0.44
CYP1_YEAST,0.6,0.48,0.44,0.52,0.5,0,0.54,0.63
TOP2_YEAST,0.45,0.36,0.5,0.19,0.5,0,0.53,0.7
SUI1_YEAST,0.39,0.39,0.65,0.16,0.5,0,0.45,0.22
PUT2_YEAST,0.45,0.53,0.51,0.42,0.5,0,0.52,0.22
RL3B_YEAST,0.43,0.33,0.67,0.12,0.5,0,0.43,0.23
